area_id,marker,area_size,radius,z,y,x,CD31_intensity,CD20_intensity,CD11b_intensity,CD4_intensity,CD11c_intensity,Catalase_intensity
1,CD31,207,5,58,106,1319,0.2985,0.2628,0.2367,0.164,0.2402,0.2819
2,CD31,312,6,68,163,1307,0.3369,0.218,0.2479,0.2079,0.2379,0.2227
3,CD31,347,7,65,214,865,0.2913,0.2113,0.2051,0.1858,0.2463,0.2582
4,CD31,2417,13,75,304,1042,0.2521,0.1646,0.2029,0.1308,0.1752,0.1889
5,CD31,1835,12,73,354,865,0.2226,0.2088,0.1418,0.167,0.2222,0.1869
6,CD31,1426,11,69,138,1300,0.2366,0.1708,0.235,0.1605,0.1758,0.1988
7,CD31,240,6,65,156,1294,0.2999,0.2357,0.2115,0.2269,0.2388,0.2194
8,CD31,301,6,69,357,814,0.3022,0.1837,0.2691,0.1989,0.2576,0.2308
9,CD31,2116,12,82,373,793,0.2622,0.4539,0.212,0.2017,0.2083,0.176
10,CD31,115,4,67,411,517,0.2519,0.2729,0.1974,0.3183,0.2538,0.2799
11,CD31,315,6,69,406,502,0.3816,0.2489,0.3746,0.2999,0.2292,0.3469
12,CD31,1623,11,78,289,1067,0.2614,0.2056,0.1867,0.1567,0.137,0.1438
13,CD31,1269,10,79,412,490,0.2179,0.1941,0.2362,0.212,0.1905,0.263
14,CD31,3150,14,77,428,473,0.2451,0.2017,0.2008,0.1564,0.1825,0.1609
15,CD31,952,9,77,416,501,0.2429,0.1883,0.2493,0.1861,0.2231,0.2537
16,CD31,153,5,67,143,1291,0.2637,0.2691,0.2722,0.2449,0.2673,0.309
17,CD31,469,7,75,309,1026,0.2572,0.2045,0.2517,0.1867,0.212,0.2031
18,CD31,58,3,65,101,1235,0.3359,0.2847,0.2582,0.3254,0.351,0.3058
19,CD31,240,6,74,130,1159,0.2812,0.2273,0.2369,0.2437,0.2265,0.2091
20,CD31,209,5,71,363,879,0.34,0.2502,0.2307,0.2836,0.2229,0.2366
21,CD31,159,5,69,415,528,0.248,0.2804,0.1956,0.212,0.2606,0.2885
22,CD31,550,8,76,315,654,0.2787,0.1988,0.2502,0.2075,0.3301,0.1956
23,CD31,116,4,69,344,892,0.3211,0.236,0.2728,0.2147,0.262,0.2353
24,CD31,130,5,70,368,820,0.2373,0.2414,0.254,0.213,0.2387,0.3188
25,CD31,1554,11,79,396,544,0.2685,0.188,0.2124,0.1491,0.2018,0.2278
26,CD31,709,8,77,315,998,0.3201,0.4159,0.2575,0.1621,0.1821,0.3635
27,CD31,642,8,77,356,896,0.2408,0.2321,0.2347,0.2375,0.2411,0.1915
28,CD31,48,3,67,264,714,0.3913,0.3626,0.3416,0.297,0.3252,0.2766
29,CD31,103,4,70,265,1136,0.3186,0.2644,0.3412,0.2875,0.3097,0.3921
30,CD31,74,4,70,294,1053,0.359,0.3016,0.3828,0.2198,0.2657,0.2991
31,CD31,48,3,71,161,1220,0.3434,0.3806,0.4492,0.3197,0.3835,0.3403
32,CD31,24,3,67,168,1224,0.334,0.2516,0.2747,0.3277,0.2931,0.3215
33,CD31,204,5,72,96,1225,0.3387,0.2362,0.2455,0.2236,0.2322,0.3069
34,CD31,79,4,73,419,528,0.2951,0.2688,0.2442,0.2733,0.2846,0.3368
35,CD31,16,3,69,306,1055,0.328,0.2663,1.0,0.2653,0.4641,0.2074
36,CD31,150,5,75,103,1209,0.3014,0.2961,0.2013,0.2492,0.2715,0.2583
37,CD31,203,5,82,138,1242,0.3011,0.2747,0.2909,0.2046,0.1911,0.1801
38,CD31,298,6,75,263,700,0.2458,0.2259,0.2649,0.19,0.2773,0.1841
39,CD31,60,3,73,300,1063,0.4167,0.28,0.3621,0.3318,0.2631,0.4327
