cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
CD11b_1,38,285,1087,0.0,0.6074,0.3491,0.4041,0.0,0.0,CD11b
CD11b_10,68,424,894,0.2745,0.4185,0.5066,0.3041,0.3614,0.333,CD11b
CD11b_11,59,432,911,0.3972,0.5698,0.3018,0.3694,0.37,0.5967,CD11b
CD11b_12,60,126,841,0.4148,0.3704,0.3089,0.333,0.3408,0.6726,CD11b
CD11b_13,68,122,851,0.2921,0.3929,0.3298,0.2708,0.2811,0.6436,CD11b
CD11b_14,68,206,673,0.2523,0.337,0.2949,0.321,0.2907,0.5843,CD11b
CD11b_15,65,127,845,0.3277,0.3791,0.3583,0.3697,0.285,0.6466,CD11b
CD11b_16,68,202,726,0.3319,0.4139,0.3082,0.4213,0.4801,0.5937,CD11b
CD11b_17,67,368,1002,0.2865,0.4231,0.3129,0.3613,0.4992,0.3393,CD11b
CD11b_18,69,244,682,0.4894,0.379,0.3632,0.2274,0.3725,0.5475,CD11b
CD11b_19,74,171,853,0.3603,0.3646,0.2736,0.3312,0.287,0.6023,CD11b
CD11b_2,50,355,387,0.3485,0.3311,0.5466,0.2879,0.3486,0.4598,CD11b
CD11b_20,68,188,863,0.2875,0.4415,0.3492,0.443,0.347,0.669,CD11b
CD11b_21,72,190,851,0.2512,0.3245,0.3249,0.2806,0.2599,0.4014,CD11b
CD11b_22,72,205,695,0.3558,0.3587,0.2926,0.3141,0.2958,0.6132,CD11b
CD11b_23,67,234,683,0.3715,0.36,0.5404,0.2737,0.3819,0.5768,CD11b
CD11b_24,70,181,755,0.3946,0.3882,0.4497,0.2727,0.3186,0.398,CD11b
CD11b_25,71,202,875,0.4646,0.5564,0.3353,0.3554,0.3821,0.6191,CD11b
CD11b_26,70,443,222,0.3816,0.419,0.3975,0.4739,0.3738,0.5161,CD11b
CD11b_27,75,672,334,0.2879,0.3009,0.3241,0.3345,0.2463,0.5393,CD11b
CD11b_28,73,133,1019,0.3293,0.4143,0.3367,0.3587,0.3637,0.6473,CD11b
CD11b_29,73,310,653,0.3276,0.3837,0.3697,0.3826,0.3833,0.2838,CD11b
CD11b_3,84,272,1083,0.3168,0.2688,0.3696,0.1974,0.2673,0.299,CD11b
CD11b_30,74,431,529,0.4056,0.3498,0.4436,0.3203,0.4626,0.4932,CD11b
CD11b_31,76,417,257,0.371,0.4957,0.4122,0.4155,0.2529,0.3433,CD11b
CD11b_32,81,676,665,0.3182,0.3373,0.3211,0.2226,0.3543,0.3648,CD11b
CD11b_33,80,371,616,0.3671,0.4563,0.4024,0.2496,0.273,0.2778,CD11b
CD11b_34,82,429,470,0.6237,0.4649,0.3042,0.4183,0.4032,0.6701,CD11b
CD11b_35,84,646,568,0.3566,0.535,0.3764,0.3389,0.6114,0.5414,CD11b
CD11b_36,86,255,1134,0.4422,0.4516,0.5071,0.3293,0.4377,0.4414,CD11b
CD11b_37,85,284,1195,0.3174,0.6185,0.3567,0.3505,0.336,0.3207,CD11b
CD11b_38,88,375,630,0.2627,0.3805,0.3648,0.2429,0.2543,0.4169,CD11b
CD11b_39,86,266,741,0.3636,0.4509,0.3041,0.2562,0.3738,0.5771,CD11b
CD11b_4,60,418,521,0.3096,0.3421,0.2704,0.3072,0.2843,0.2761,CD11b
CD11b_40,89,341,673,0.3555,0.5183,0.3043,0.3248,0.389,0.5356,CD11b
CD11b_41,88,573,526,0.3431,0.5357,0.406,0.3736,0.3531,0.6402,CD11b
CD11b_42,89,638,596,0.3537,0.371,0.3192,0.2599,0.2976,0.6674,CD11b
CD11b_43,96,422,418,0.3121,0.2863,0.2547,0.2811,0.2126,0.3445,CD11b
CD11b_44,86,501,349,0.3459,0.5795,0.3071,0.3841,0.3069,0.4293,CD11b
CD11b_45,87,136,1192,0.4099,0.5532,0.375,0.3543,0.3373,0.5372,CD11b
CD11b_46,88,158,776,0.3282,0.4607,0.3672,0.3142,0.3068,0.4837,CD11b
CD11b_47,87,209,751,0.4027,0.4871,0.4648,0.3574,0.4112,0.3391,CD11b
CD11b_48,93,667,234,0.3301,0.4083,0.2827,0.2707,0.3018,0.3207,CD11b
CD11b_49,88,399,728,0.3581,0.4863,0.271,0.3979,0.3895,0.3476,CD11b
CD11b_5,59,109,864,0.3351,0.3027,0.2854,0.2497,0.268,0.4277,CD11b
CD11b_50,89,614,622,0.3844,0.419,0.326,0.3059,0.3685,0.6854,CD11b
CD11b_51,96,499,347,0.2448,0.3731,0.2957,0.2747,0.267,0.3375,CD11b
CD11b_52,91,656,383,0.3489,0.4019,0.3544,0.3897,0.339,0.3316,CD11b
CD11b_53,91,336,672,0.3722,0.5375,0.3885,0.2942,0.401,0.4839,CD11b
CD11b_54,93,337,677,0.3256,0.4688,0.3226,0.3279,0.2602,0.44,CD11b
CD11b_55,96,668,381,0.3314,0.4345,0.3086,0.2749,0.287,0.3188,CD11b
CD11b_56,96,490,258,0.3005,0.4401,0.3813,0.3994,0.3401,0.3647,CD11b
CD11b_57,109,606,182,0.2693,0.3485,0.2714,0.232,0.2502,0.3758,CD11b
CD11b_58,96,310,694,0.3633,0.603,0.4541,0.4912,0.3676,0.4617,CD11b
CD11b_59,97,453,419,0.4179,0.5061,0.3087,0.4015,0.4082,0.5983,CD11b
CD11b_6,70,413,503,0.3044,0.3047,0.2591,0.2262,0.236,0.2228,CD11b
CD11b_60,99,209,949,0.4813,0.4993,0.3515,0.3075,0.282,0.321,CD11b
CD11b_61,106,569,49,0.3259,0.4946,0.3882,0.2552,0.2899,0.4705,CD11b
CD11b_62,103,576,178,0.3512,0.4191,0.4254,0.3212,0.3426,0.428,CD11b
CD11b_63,108,650,174,0.3555,0.3636,0.3492,0.1886,0.3135,0.5421,CD11b
CD11b_64,104,659,499,0.4304,0.5161,0.4056,0.3359,0.3219,0.9113,CD11b
CD11b_65,103,496,131,0.3296,0.4632,0.3391,0.3461,0.2342,0.6965,CD11b
CD11b_66,106,637,615,0.3558,0.4376,0.3494,0.3093,0.5144,0.3394,CD11b
CD11b_67,114,665,498,0.3303,0.5238,0.3848,0.2905,0.2895,0.4139,CD11b
CD11b_68,111,460,409,0.3223,0.4746,0.4003,0.4194,0.2962,0.5615,CD11b
CD11b_69,113,425,418,0.3135,0.472,0.3378,0.4413,0.2739,0.4353,CD11b
CD11b_7,57,225,646,0.3499,0.4161,0.4259,0.3774,0.328,0.4446,CD11b
CD11b_70,130,272,1081,0.2696,0.3738,0.3277,0.2903,0.2695,0.2888,CD11b
CD11b_71,128,313,1144,0.3767,0.5017,0.3295,0.3602,0.2874,0.3418,CD11b
CD11b_72,130,529,353,0.3656,0.4534,0.3229,0.4258,0.3362,0.4929,CD11b
CD11b_73,143,526,356,0.2333,0.3674,0.2941,0.2975,0.2985,0.4583,CD11b
CD11b_74,144,242,1065,0.3198,0.3529,0.5854,0.2554,0.4967,0.2687,CD11b
CD11b_8,69,415,491,0.2585,0.3048,0.2751,0.2679,0.2746,0.2193,CD11b
CD11b_9,62,441,243,0.3116,0.4406,0.3773,0.3724,0.2886,0.595,CD11b
CD11c_1,57,152,565,0.3174,0.382,0.3285,0.3074,0.5598,0.9982,CD11c
CD11c_10,71,321,993,0.5262,1.0,0.2521,0.2503,0.2563,0.2751,CD11c
CD11c_11,72,171,870,0.3754,0.3225,0.2375,0.2318,0.3373,0.343,CD11c
CD11c_12,68,202,1293,0.3769,0.5075,0.3739,0.3115,0.4783,0.5194,CD11c
CD11c_13,69,371,447,0.4174,0.4749,0.2941,0.3599,0.5825,0.4298,CD11c
CD11c_14,79,385,610,0.3417,0.3634,0.1886,0.3339,0.4123,0.4338,CD11c
CD11c_15,72,409,882,0.3352,0.419,0.2807,0.2655,0.3054,0.449,CD11c
CD11c_16,69,195,793,0.4748,0.5549,0.3364,0.2859,0.5587,0.3387,CD11c
CD11c_17,72,420,377,0.431,0.4282,0.2621,0.2981,0.5948,0.3589,CD11c
CD11c_18,81,275,1088,0.2325,0.3058,0.2992,0.221,0.3065,0.2751,CD11c
CD11c_19,78,487,240,0.3463,0.4114,0.2949,0.3842,0.4707,0.3556,CD11c
CD11c_2,60,156,764,0.4195,0.5571,0.3031,0.2844,0.5719,0.5259,CD11c
CD11c_20,84,343,761,0.3706,0.4469,0.3416,0.3608,0.5221,0.3937,CD11c
CD11c_21,81,411,877,0.47,0.4927,0.2614,0.3048,0.407,0.4365,CD11c
CD11c_22,84,348,741,0.3788,0.3716,0.3436,0.3091,0.3454,0.4929,CD11c
CD11c_23,87,407,464,0.4182,0.5534,0.2463,0.316,0.4935,0.3999,CD11c
CD11c_24,95,578,287,0.2633,0.4318,0.2156,0.3005,0.2862,0.3116,CD11c
CD11c_25,93,677,574,0.3663,0.5316,0.3054,0.356,0.4529,0.4687,CD11c
CD11c_26,95,451,355,0.321,0.5401,0.4412,0.1855,0.5975,0.3409,CD11c
CD11c_27,115,398,248,0.358,0.3474,0.2728,0.1966,0.4305,0.3357,CD11c
CD11c_28,159,78,782,0.2686,0.2683,0.2631,0.2435,0.583,0.5088,CD11c
CD11c_29,149,242,1065,0.4461,0.9029,0.5595,0.4968,0.6035,0.5967,CD11c
CD11c_3,63,64,1273,0.3399,0.3622,0.3013,0.3154,0.3535,0.3766,CD11c
