,Area,Mesangial Area,Mesangial Fraction
Glomerulus_0,7491.3125,5825.8125,0.7776758
Glomerulus_1,11318.5625,5519.8125,0.48767787
Glomerulus_2,11692.3125,8965.625,0.7667966
Glomerulus_3,23472.312,18920.625,0.8060827
Glomerulus_4,29911.438,24769.688,0.82810086
Glomerulus_5,9999.375,7727.8125,0.77282953
Glomerulus_6,4350.5,3532.125,0.8118894
Glomerulus_7,25409.75,23017.312,0.9058457
Glomerulus_8,18599.5,14430.75,0.77586764
Glomerulus_9,6978.375,4822.625,0.6910814
Glomerulus_10,11179.6875,8277.875,0.7404389
Glomerulus_11,27734.312,21094.125,0.76057863
Glomerulus_12,8952.4375,2276.9375,0.25433716
Glomerulus_13,23774.062,17284.062,0.7270134
Glomerulus_14,10417.9375,7275.625,0.6983748
Glomerulus_15,2333.0,1523.875,0.6531826
Glomerulus_16,27343.562,17612.562,0.644121
Glomerulus_17,26038.0,20950.0,0.80459327
Glomerulus_18,20525.125,14772.5,0.71972764
