roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
ROI_00,0.39121250808238983,0.28242501616477966,0.5,2,2,835.0,246.0,81.0
ROI_01,0.36726875603199005,0.3345375061035156,0.4000000059604645,4,6,7.0,494.0,146.0
ROI_02,0.35745833814144135,0.3815833330154419,0.3333333432674408,3,6,432.0,428.0,96.0
ROI_03,0.34858573973178864,0.2686000168323517,0.4285714626312256,3,4,319.0,441.0,84.0
ROI_04,0.3459440618753433,0.26331666111946106,0.4285714626312256,3,4,425.0,432.0,149.0
ROI_05,0.3453940749168396,0.2622166872024536,0.4285714626312256,3,4,941.0,228.0,87.0
ROI_06,0.3440440595149994,0.2595166563987732,0.4285714626312256,3,4,294.0,579.0,104.0
ROI_07,0.33593573421239853,0.24330000579357147,0.4285714626312256,3,4,1132.0,266.0,76.0
ROI_08,0.3346500024199486,0.16930000483989716,0.5,2,2,865.0,214.0,65.0
ROI_09,0.3332524001598358,0.23793333768844604,0.4285714626312256,3,4,324.0,554.0,28.0
ROI_10,0.37175239622592926,0.31493332982063293,0.4285714626312256,3,4,324.0,554.0,28.0
ROI_11,0.33797499537467957,0.27595001459121704,0.3999999761581421,4,6,7.0,494.0,146.0
ROI_12,0.32979999482631683,0.15959998965263367,0.5,2,2,1083.0,272.0,84.0
ROI_13,0.32229405641555786,0.21601665019989014,0.4285714626312256,3,4,319.0,441.0,84.0
ROI_14,0.3068416714668274,0.280349999666214,0.3333333432674408,4,8,247.0,517.0,125.0
ROI_15,0.3024875074625015,0.20497500896453857,0.4000000059604645,4,6,1081.0,272.0,130.0
ROI_16,0.29401666671037674,0.21303333342075348,0.375,6,10,616.0,82.0,153.0
ROI_17,0.2900416702032089,0.24674999713897705,0.3333333432674408,4,8,1320.0,229.0,56.0
ROI_18,0.2900416702032089,0.24674999713897705,0.3333333432674408,4,8,1351.0,216.0,75.0
ROI_19,0.28171780705451965,0.2907083332538605,0.27272728085517883,6,16,374.0,467.0,130.0
ROI_20,0.6980250030755997,0.39605000615119934,1.0,1,0,1232.0,227.0,93.0
ROI_21,0.6826249957084656,0.36524999141693115,1.0,1,0,689.0,629.0,118.0
ROI_22,0.6772249937057495,0.354449987411499,1.0,1,0,79.0,410.0,116.0
ROI_23,0.46681249141693115,0.4336249828338623,0.5,2,2,980.0,313.0,73.0
ROI_24,0.46092499792575836,0.4218499958515167,0.5,2,2,1144.0,279.0,72.0
ROI_25,0.3828773945569992,0.3371833264827728,0.4285714626312256,3,4,879.0,102.0,58.0
ROI_26,0.36650240421295166,0.30443334579467773,0.4285714626312256,3,4,971.0,349.0,128.0
ROI_27,0.3655875027179718,0.2311750054359436,0.5,2,2,1002.0,221.0,73.0
ROI_28,0.3546999990940094,0.2093999981880188,0.5,2,2,416.0,486.0,90.0
ROI_29,0.3524499982595444,0.20489999651908875,0.5,2,2,316.0,583.0,141.0
ROI_30,0.37601250410079956,0.2520250082015991,0.5,2,2,835.0,246.0,81.0
ROI_31,0.33044999837875366,0.16089999675750732,0.5,2,2,820.0,286.0,88.0
ROI_32,0.32881907373666763,0.22906668484210968,0.4285714626312256,3,4,1132.0,266.0,76.0
ROI_33,0.32653573155403137,0.22450000047683716,0.4285714626312256,3,4,294.0,579.0,104.0
ROI_34,0.32477501034736633,0.31621667742729187,0.3333333432674408,3,6,432.0,428.0,96.0
ROI_35,0.32366905361413956,0.21876664459705353,0.4285714626312256,3,4,941.0,228.0,87.0
ROI_36,0.322562500834465,0.14512500166893005,0.5,2,2,865.0,214.0,65.0
ROI_37,0.32017499953508377,0.14034999907016754,0.5,2,2,1250.0,203.0,101.0
ROI_38,0.3153357282280922,0.2020999938249588,0.4285714626312256,3,4,425.0,432.0,149.0
ROI_39,0.3123476952314377,0.24007999897003174,0.38461539149284363,5,8,362.0,464.0,103.0
