roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
ROI_00,0.6980250030755997,0.39605000615119934,1.0,1,0,1232.0,227.0,93.0
ROI_01,0.6826249957084656,0.36524999141693115,1.0,1,0,689.0,629.0,118.0
ROI_02,0.6772249937057495,0.354449987411499,1.0,1,0,79.0,410.0,116.0
ROI_03,0.46681249141693115,0.4336249828338623,0.5,2,2,980.0,313.0,73.0
ROI_04,0.46092499792575836,0.4218499958515167,0.5,2,2,1144.0,279.0,72.0
ROI_05,0.3828773945569992,0.3371833264827728,0.4285714626312256,3,4,879.0,102.0,58.0
ROI_06,0.36650240421295166,0.30443334579467773,0.4285714626312256,3,4,971.0,349.0,128.0
ROI_07,0.3655875027179718,0.2311750054359436,0.5,2,2,1002.0,221.0,73.0
ROI_08,0.3546999990940094,0.2093999981880188,0.5,2,2,416.0,486.0,90.0
ROI_09,0.3524499982595444,0.20489999651908875,0.5,2,2,316.0,583.0,141.0
