,Area,Mesangial Area,Mesangial Fraction
Glomerulus_0,0.0,0.0,0.0
Glomerulus_1,0.0,0.0,0.0
Glomerulus_2,0.0,0.0,0.0
Glomerulus_3,0.0,0.0,0.0
Glomerulus_4,0.0,0.0,0.0
Glomerulus_5,0.0,0.0,0.0
Glomerulus_6,0.0,0.0,0.0
Glomerulus_7,0.0,0.0,0.0
Glomerulus_8,0.0,0.0,0.0
Glomerulus_9,0.0,0.0,0.0
Glomerulus_10,0.0,0.0,0.0
Glomerulus_11,0.0,0.0,0.0
Glomerulus_12,0.0,0.0,0.0
Glomerulus_13,0.0,0.0,0.0
Glomerulus_14,0.0,0.0,0.0
Glomerulus_15,0.0,0.0,0.0
Glomerulus_16,0.0,0.0,0.0
Glomerulus_17,0.0,0.0,0.0
Glomerulus_18,0.0,0.0,0.0
